paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
207,0.1,0.12,0.02,0.02,0.04,0.01,0.1,0.09,0.13,0.07,0.14,0.11,0.01,0.0,0.06,0.01
208,0.07,0.09,0.02,0.12,0.1,0.02,0.4,0.07,0.16,0.09,0.2,0.2,0.11,0.06,0.09,0.06
209,0.12,0.12,0.01,0.06,0.14,0.07,0.08,0.12,0.14,0.23,0.18,0.11,0.08,0.06,0.21,0.03
210,0.12,0.11,0.05,0.03,0.06,0.02,0.16,0.07,0.11,0.06,0.07,0.15,0.11,0.02,0.14,0.04
211,0.12,0.08,0.05,0.11,0.2,0.11,0.23,0.15,0.11,0.15,0.19,0.28,0.15,0.05,0.11,0.1
212,0.08,0.11,0.01,0.15,0.25,0.04,0.24,0.12,0.1,0.12,0.23,0.23,0.09,0.11,0.19,0.04
213,0.11,0.12,0.02,0.01,0.1,0.02,0.19,0.07,0.18,0.09,0.16,0.07,0.04,0.01,0.02,0.01
214,0.13,0.11,0.02,0.05,0.13,0.02,0.03,0.17,0.15,0.14,0.16,0.12,0.04,0.02,0.11,0.01
215,0.13,0.05,0.03,0.05,0.1,0.02,0.16,0.07,0.11,0.05,0.14,0.21,0.05,0.04,0.16,0.05
216,0.07,0.13,0.02,0.05,0.15,0.09,0.29,0.12,0.08,0.07,0.16,0.25,0.07,0.06,0.23,0.06
217,0.04,0.0,0.06,0.03,0.11,0.07,0.0,0.09,0.07,0.06,0.04,0.15,0.04,0.02,0.05,0.06
218,0.91,0.82,0.54,0.24,0.3,0.56,0.83,0.36,0.87,0.92,0.99,0.35,0.07,0.0,0.23,0.02
219,0.09,0.15,0.02,0.09,0.09,0.06,0.36,0.1,0.18,0.1,0.22,0.3,0.1,0.05,0.14,0.05
220,0.12,0.09,0.05,0.03,0.1,0.04,0.23,0.13,0.09,0.07,0.22,0.17,0.11,0.15,0.15,0.07
221,0.11,0.11,0.01,0.01,0.07,0.02,0.08,0.13,0.12,0.08,0.17,0.09,0.02,0.01,0.05,0.06
222,0.14,0.17,0.04,0.07,0.14,0.03,0.02,0.12,0.11,0.08,0.22,0.15,0.09,0.04,0.11,0.03
223,0.2,0.16,0.1,0.08,0.13,0.06,0.06,0.11,0.2,0.1,0.13,0.17,0.2,0.07,0.19,0.04
224,0.13,0.13,0.02,0.07,0.14,0.04,0.13,0.08,0.08,0.09,0.25,0.21,0.18,0.09,0.23,0.05
225,0.1,0.08,0.02,0.0,0.02,0.0,0.13,0.13,0.15,0.02,0.08,0.03,0.04,0.04,0.04,0.03
226,0.1,0.15,0.04,0.1,0.15,0.04,0.16,0.07,0.1,0.08,0.25,0.2,0.09,0.01,0.3,0.1
